latitude,longitude,unique_squirrel_id,other_activities,lat_long
40.7742879599026,-73.9722500196844,11D-AM-1010-03,grooming,POINT (-73.9722500196844 40.7742879599026)
40.7765032004992,-73.9703925210471,14E-AM-1008-23,walking,POINT (-73.9703925210471 40.7765032004992)
40.7913812490557,-73.9584070974734,33F-AM-1008-01,moving slowly,POINT (-73.9584070974734 40.7913812490557)
40.7734991420941,-73.9670628558161,12I-AM-1013-01,sitting,POINT (-73.9670628558161 40.77349914209411)
40.7798965621203,-73.9704402681017,17C-PM-1013-05,eating (ate upside down on a tree — #jealous),POINT (-73.9704402681017 40.77989656212031)
40.7902561000937,-73.9565700386162,33H-AM-1019-02,wrestling with mother,POINT (-73.9565700386162 40.7902561000937)
40.7686905339212,-73.9801666435401,2B-PM-1013-01,running (with nut),POINT (-73.9801666435401 40.7686905339212)
40.7690280985956,-73.9704082821356,6I-PM-1013-06,playing with #5,POINT (-73.9704082821356 40.7690280985956)
40.7689486657963,-73.9741824992294,5F-PM-1007-03,hiding nut,POINT (-73.9741824992294 40.7689486657963)
40.7828364735236,-73.9689000978955,20B-PM-1013-10,drank from a pond of rain water,POINT (-73.9689000978955 40.7828364735236)
40.7873862510001,-73.9576245992455,29H-PM-1006-01,sitting,POINT (-73.9576245992455 40.7873862510001)
40.7845098131567,-73.9666007935638,23C-PM-1014-03,chasing (#4 across trees),POINT (-73.9666007935638 40.7845098131567)
40.7883840104749,-73.964474836001,28C-PM-1006-01,gathering acorns,POINT (-73.964474836001 40.7883840104749)
40.7914829661051,-73.9610705592868,32D-AM-1013-06,"eating (a mushroom),circles around us,really fat,scratching himself,grooming activity",POINT (-73.9610705592868 40.7914829661051)
40.7987384656256,-73.9551539498306,41D-AM-1014-01,digging,POINT (-73.9551539498306 40.7987384656256)
40.7768553703082,-73.9692883970928,14E-AM-1008-02,walking,POINT (-73.9692883970928 40.7768553703082)
40.7699587019058,-73.9708549670788,7H-PM-1006-04,sitting,POINT (-73.9708549670788 40.7699587019058)
40.7747213585387,-73.9761592532482,10A-AM-1006-04,walking on branch,POINT (-73.9761592532482 40.7747213585387)
40.7950689723135,-73.9544007658685,38F-PM-1013-05,"being chased,was pushed by other squirrel",POINT (-73.9544007658685 40.7950689723135)
40.799368134968,-73.9575986161364,41B-PM-1014-01,climbing (tree),POINT (-73.9575986161364 40.799368134968)
40.7955418990855,-73.9607701370443,36A-PM-1013-07,chasing #8,POINT (-73.9607701370443 40.7955418990855)
40.7908193284981,-73.9589249555235,32E-PM-1017-03,still,POINT (-73.9589249555235 40.7908193284981)
40.7978449143313,-73.9521110154872,42G-AM-1018-03,stop to look at me—then ran,POINT (-73.9521110154872 40.7978449143313)
40.7950013620207,-73.9574809028248,37D-PM-1014-04,chasing (a chipmunk),POINT (-73.9574809028248 40.7950013620207)
40.7854119342538,-73.967097592707,24B-AM-1013-01,took nut to bury,POINT (-73.967097592707 40.7854119342538)
40.7815739959357,-73.9700100617602,19B-PM-1018-01,flying,POINT (-73.9700100617602 40.7815739959357)
40.7922896176936,-73.9530040923555,36I-PM-1007-10,stole (found?) an entire sandwich,POINT (-73.9530040923555 40.7922896176936)
40.7939581069382,-73.9607746337979,35B-AM-1010-01,walking w/ something in mouth,POINT (-73.9607746337979 40.793958106938206)
40.796382675378,-73.9592038887673,38B-PM-1018-02,burying nut,POINT (-73.9592038887673 40.796382675378)
40.7950813345902,-73.9511118711108,40I-AM-1018-01,begging,POINT (-73.9511118711108 40.7950813345902)
40.7772624641112,-73.9671147090087,16G-AM-1010-03,was hanging out w/ #2 until i showed up,POINT (-73.9671147090087 40.7772624641112)
40.7828208083804,-73.9696433533986,20B-AM-1007-01,quietly,POINT (-73.9696433533986 40.7828208083804)
40.7769884612305,-73.969847380865,14E-AM-1008-05,nest building,POINT (-73.969847380865 40.7769884612305)
40.7787872561177,-73.9661361310677,18G-PM-1013-01,burying,POINT (-73.9661361310677 40.7787872561177)
40.7952475548048,-73.9532620128307,39G-AM-1018-01,dead (something ran over it),POINT (-73.9532620128307 40.7952475548048)
40.7686351097159,-73.9763430829342,4D-PM-1008-11,chased #12,POINT (-73.9763430829342 40.7686351097159)
40.7714534847379,-73.9712308864394,9G-AM-1007-04,grooming,POINT (-73.9712308864394 40.7714534847379)
40.7723889080377,-73.9707274055755,10G-PM-1017-10,playing (with #9),POINT (-73.9707274055755 40.7723889080377)
40.7963852299012,-73.9588468413094,38B-AM-1019-05,sitting still,POINT (-73.9588468413094 40.7963852299012)
40.7815277479588,-73.9700162034073,19B-AM-1019-02,posing,POINT (-73.9700162034073 40.7815277479588)
40.7681257911523,-73.9735489537928,4G-AM-1006-02,sitting in tree,POINT (-73.9735489537928 40.7681257911523)
40.7693708133873,-73.9787105069657,3B-AM-1010-08,together w/ #7,POINT (-73.9787105069657 40.7693708133873)
40.7760402842845,-73.965796978969,15H-PM-1008-03,not sure walk-pause-walk,POINT (-73.96579697896901 40.7760402842845)
40.7913532129148,-73.9638774579549,31A-AM-1010-05,jumping,POINT (-73.9638774579549 40.7913532129148)
40.7837103696906,-73.9679538163341,22C-AM-1013-03,eating (mushroom),POINT (-73.9679538163341 40.7837103696906)
40.7838472644815,-73.968367485157,22B-PM-1014-05,eating (eats with head tilted far to the right (tooth issue?)),POINT (-73.968367485157 40.7838472644815)
40.7732399463626,-73.9770273553525,8A-AM-1013-03,playing tag together,POINT (-73.9770273553525 40.7732399463626)
40.7975076299811,-73.9520592496349,42G-PM-1014-03,prancing,POINT (-73.9520592496349 40.7975076299811)
40.7753294525644,-73.9728660779622,12C-AM-1013-03,burying,POINT (-73.9728660779622 40.7753294525644)
40.7703573131398,-73.9760256477558,5D-AM-1020-02,small jumps,POINT (-73.9760256477558 40.7703573131398)
40.797533370163,-73.9593126695714,39B-AM-1018-01,unknown,POINT (-73.9593126695714 40.797533370163)
40.7685619029765,-73.9754778808471,4E-AM-1020-01,sitting very still,POINT (-73.9754778808471 40.7685619029765)
40.7964221087879,-73.9570817579092,38D-AM-1017-02,hiding in log,POINT (-73.9570817579092 40.7964221087879)
40.7847591558491,-73.9589627056561,26I-PM-1010-02,hiding food,POINT (-73.9589627056561 40.7847591558491)
40.7684035996758,-73.9773317054464,3D-AM-1006-03,climbing (rock),POINT (-73.9773317054464 40.76840359967581)
40.7706096126328,-73.9726958070536,7F-AM-1008-09,playing w/ #8,POINT (-73.9726958070536 40.7706096126328)
40.776760392858,-73.9691094942294,14E-AM-1008-01,walking,POINT (-73.9691094942294 40.776760392858)
40.7679326548845,-73.9758579666874,3E-PM-1008-05,jump,POINT (-73.9758579666874 40.7679326548845)
40.7786640676355,-73.9731113265165,15A-PM-1017-01,eating in tree,POINT (-73.9731113265165 40.7786640676355)
40.7837388390673,-73.9679661308374,22C-AM-1013-01,"sitting still,tail over back",POINT (-73.9679661308374 40.7837388390673)
40.7944359654227,-73.957342596188,37E-PM-1006-09,moseying,POINT (-73.957342596188 40.7944359654227)
40.7694522315322,-73.9762348224648,4D-PM-1008-08,climbed fence staring at me - went up tree,POINT (-73.97623482246482 40.7694522315322)
40.7775169562765,-73.9689700100267,15E-PM-1008-05,sitting,POINT (-73.9689700100267 40.7775169562765)
40.7768690723163,-73.9743990576746,12A-PM-1013-04,chasing #3,POINT (-73.9743990576746 40.7768690723163)
40.7908135158551,-73.9587879699956,32F-AM-1012-01,made a back-door escape from dog off-leash,POINT (-73.9587879699956 40.7908135158551)
40.7882333830729,-73.9667560049684,27A-PM-1006-01,walking up & down branches,POINT (-73.9667560049684 40.7882333830729)
40.7715792113505,-73.9724452296309,8F-PM-1012-03,buried an acorn,POINT (-73.9724452296309 40.7715792113505)
40.7753181851766,-73.9716404781264,12D-PM-1014-02,seems to be grinding teeth on a piece of material (sounds from grinding),POINT (-73.9716404781264 40.7753181851766)
40.7810666805133,-73.9672127283283,20D-AM-1007-01,a lot of activity,POINT (-73.9672127283283 40.7810666805133)
40.7692134727555,-73.979316275899,3B-PM-1007-01,chased by dog,POINT (-73.979316275899 40.7692134727555)
